Site ID,query_count,Country,Region,missing_page_count,sae_count
Site 1309,7,CHN,ASIA,0,0.0
Site 131,11,CZE,EMEA,0,0.0
Site 1310,46,CHN,ASIA,0,1.0
Site 132,14,CZE,EMEA,0,0.0
Site 1330,4,HRV,EMEA,0,0.0
Site 1331,1,HRV,EMEA,0,0.0
Site 1332,4,HRV,EMEA,0,0.0
Site 1333,21,HRV,EMEA,0,0.0
Site 1335,5,HRV,EMEA,0,0.0
Site 1336,141,HRV,EMEA,0,0.0
Site 1337,33,HRV,EMEA,0,0.0
Site 1338,1,HRV,EMEA,0,0.0
Site 1339,4,HRV,EMEA,0,0.0
Site 1340,7,HRV,EMEA,0,0.0
Site 1341,3,HRV,EMEA,0,0.0
Site 1342,89,HRV,EMEA,0,0.0
Site 1343,1,HRV,EMEA,0,0.0
Site 1346,14,DNK,EMEA,0,0.0
Site 1347,24,DNK,EMEA,0,0.0
Site 1348,13,DNK,EMEA,0,0.0
Site 1349,28,DNK,EMEA,0,0.0
Site 1350,95,DNK,EMEA,0,0.0
Site 1351,133,DNK,EMEA,0,0.0
Site 1354,3,DNK,EMEA,0,0.0
Site 1355,12,DNK,EMEA,0,0.0
Site 1359,14,LVA,EMEA,0,0.0
Site 1360,10,LVA,EMEA,0,0.0
Site 1362,62,LVA,EMEA,0,0.0
Site 1363,27,LVA,EMEA,0,0.0
Site 1364,10,LVA,EMEA,0,0.0
Site 1365,2,LVA,EMEA,0,0.0
Site 1388,29,LTU,EMEA,0,0.0
Site 1389,31,LTU,EMEA,0,0.0
Site 1390,21,LTU,EMEA,0,0.0
Site 1396,5,SWE,EMEA,0,0.0
Site 1398,17,SWE,EMEA,0,0.0
Site 14,46,POL,EMEA,0,0.0
Site 1402,25,SWE,EMEA,0,0.0
Site 1403,22,SWE,EMEA,0,0.0
Site 1404,7,SWE,EMEA,0,0.0
Site 147,25,GRC,EMEA,0,0.0
Site 148,6,GRC,EMEA,0,0.0
Site 149,29,GRC,EMEA,0,0.0
Site 15,13,POL,EMEA,0,0.0
Site 153,38,HUN,EMEA,0,0.0
Site 154,68,HUN,EMEA,0,0.0
Site 156,12,HUN,EMEA,0,0.0
Site 158,26,HUN,EMEA,0,1.0
Site 159,26,HUN,EMEA,0,0.0
Site 16,10,POL,EMEA,0,4.0
Site 161,1,ISR,EMEA,0,0.0
Site 162,7,ISR,EMEA,0,0.0
Site 163,1,POL,EMEA,0,0.0
Site 164,10,POL,EMEA,0,1.0
Site 1645,3,IND,ASIA,0,0.0
Site 1646,7,IND,ASIA,0,0.0
Site 1647,40,IND,ASIA,0,1.0
Site 1648,13,IND,ASIA,0,0.0
Site 1649,13,IND,ASIA,0,0.0
Site 1650,21,IND,ASIA,0,0.0
Site 1651,3,IND,ASIA,0,0.0
Site 1652,19,IND,ASIA,0,0.0
Site 1653,4,IND,ASIA,0,0.0
Site 1654,13,IND,ASIA,0,0.0
Site 1655,14,IND,ASIA,0,0.0
Site 1656,11,IND,ASIA,0,0.0
Site 1657,19,IND,ASIA,0,0.0
Site 1658,7,IND,ASIA,0,0.0
Site 1659,63,IND,ASIA,0,0.0
Site 166,41,ARG,AMERICA,0,0.0
Site 1660,11,IND,ASIA,0,0.0
Site 1661,27,IND,ASIA,0,0.0
Site 1662,7,IND,ASIA,0,0.0
Site 1663,14,IND,ASIA,0,0.0
Site 1664,14,IND,ASIA,0,0.0
Site 1665,2,IND,ASIA,0,0.0
Site 1666,30,IND,ASIA,0,0.0
Site 1667,32,IND,ASIA,0,0.0
Site 1668,19,IND,ASIA,0,0.0
Site 1669,8,IND,ASIA,0,0.0
Site 1670,16,IND,ASIA,0,0.0
Site 1671,5,IND,ASIA,0,0.0
Site 1672,3,IND,ASIA,0,0.0
Site 1673,65,MYS,ASIA,0,0.0
Site 1674,14,MYS,ASIA,0,3.0
Site 1675,13,MYS,ASIA,0,0.0
Site 1676,8,MYS,ASIA,0,0.0
Site 1677,16,MYS,ASIA,0,0.0
Site 1678,6,MYS,ASIA,0,0.0
Site 1679,20,MYS,ASIA,0,0.0
Site 168,43,ARG,AMERICA,0,0.0
Site 1680,1,MYS,ASIA,0,0.0
Site 1681,9,MYS,ASIA,0,0.0
Site 1682,4,MYS,ASIA,0,0.0
Site 1683,36,MYS,ASIA,0,0.0
Site 1684,3,MYS,ASIA,0,0.0
Site 1685,6,PHL,ASIA,0,0.0
Site 1686,7,PHL,ASIA,0,0.0
Site 1687,11,THA,ASIA,0,0.0
Site 1688,18,THA,ASIA,0,0.0
Site 1689,15,TUR,EMEA,0,0.0
Site 169,21,ARG,AMERICA,0,0.0
Site 1690,8,TUR,EMEA,0,0.0
Site 1691,10,VNM,ASIA,0,0.0
Site 1692,58,VNM,ASIA,0,0.0
Site 1693,93,VNM,ASIA,0,1.0
Site 1694,18,AUT,EMEA,0,0.0
Site 1695,43,BGR,EMEA,0,0.0
Site 1696,24,BGR,EMEA,0,0.0
Site 1697,24,BGR,EMEA,0,0.0
Site 1698,16,BGR,EMEA,0,0.0
Site 1699,23,BGR,EMEA,0,0.0
Site 17,35,POL,EMEA,0,0.0
Site 170,10,ARG,AMERICA,0,0.0
Site 1700,26,BGR,EMEA,0,0.0
Site 1701,31,BGR,EMEA,0,0.0
Site 1702,21,BGR,EMEA,0,0.0
Site 1703,37,BGR,EMEA,0,2.0
Site 1704,5,BGR,EMEA,0,4.0
Site 1705,13,BGR,EMEA,0,0.0
Site 1706,20,BGR,EMEA,0,0.0
Site 1707,6,BGR,EMEA,0,0.0
Site 1708,8,CZE,EMEA,0,0.0
Site 1709,14,CZE,EMEA,0,0.0
Site 171,10,ARG,AMERICA,0,0.0
Site 1710,76,CZE,EMEA,0,1.0
Site 1711,7,CZE,EMEA,0,0.0
Site 1712,4,CZE,EMEA,0,0.0
Site 1713,11,CZE,EMEA,0,0.0
Site 1714,16,CZE,EMEA,0,0.0
Site 1715,7,CZE,EMEA,0,0.0
Site 1716,1,FRA,EMEA,0,0.0
Site 1717,4,FRA,EMEA,0,0.0
Site 1718,10,FRA,EMEA,0,0.0
Site 1719,12,FRA,EMEA,0,0.0
Site 172,30,ARG,AMERICA,0,0.0
Site 1720,10,FRA,EMEA,0,0.0
Site 1721,2,FRA,EMEA,0,0.0
Site 1722,34,FRA,EMEA,0,0.0
Site 1723,39,FRA,EMEA,0,0.0
Site 1724,5,FRA,EMEA,0,0.0
Site 1725,7,FRA,EMEA,0,0.0
Site 1726,7,FRA,EMEA,0,0.0
Site 1727,2,FRA,EMEA,0,0.0
Site 1728,33,FRA,EMEA,0,0.0
Site 1729,1,FRA,EMEA,0,0.0
Site 173,11,ARG,AMERICA,0,0.0
Site 1730,43,FRA,EMEA,0,0.0
Site 1731,5,FRA,EMEA,0,0.0
Site 1732,13,FRA,EMEA,0,0.0
Site 1733,2,GRC,EMEA,0,0.0
Site 1734,12,HUN,EMEA,0,0.0
Site 1735,43,HUN,EMEA,0,0.0
Site 1736,13,HUN,EMEA,0,0.0
Site 1737,9,HUN,EMEA,0,0.0
Site 1738,23,HUN,EMEA,0,0.0
Site 1739,9,HUN,EMEA,0,0.0
Site 174,23,ARG,AMERICA,0,0.0
Site 1740,2,HUN,EMEA,0,0.0
Site 1741,13,HUN,EMEA,0,0.0
Site 1742,18,HUN,EMEA,0,0.0
Site 1743,6,HUN,EMEA,0,0.0
Site 1744,14,HUN,EMEA,0,0.0
Site 1745,26,HUN,EMEA,0,0.0
Site 1746,13,ITA,EMEA,0,0.0
Site 1747,11,ITA,EMEA,0,0.0
Site 1748,10,ITA,EMEA,0,0.0
Site 1749,34,ITA,EMEA,0,0.0
Site 1750,14,ITA,EMEA,0,0.0
Site 1751,4,ITA,EMEA,0,0.0
Site 1752,41,ITA,EMEA,0,0.0
Site 1753,28,ITA,EMEA,0,0.0
Site 1754,10,ITA,EMEA,0,0.0
Site 1755,16,ITA,EMEA,0,0.0
Site 1756,14,ITA,EMEA,0,0.0
Site 1757,13,ITA,EMEA,0,0.0
Site 1758,9,ITA,EMEA,0,0.0
Site 1759,28,ITA,EMEA,0,0.0
Site 176,14,ARG,AMERICA,0,0.0
Site 1760,9,ITA,EMEA,0,0.0
Site 1761,6,ITA,EMEA,0,0.0
Site 1762,13,ITA,EMEA,0,0.0
Site 1763,13,ITA,EMEA,0,0.0
Site 1764,10,ITA,EMEA,0,0.0
Site 1765,17,ITA,EMEA,0,0.0
Site 1766,1,ITA,EMEA,0,0.0
Site 1767,1,ITA,EMEA,0,0.0
Site 1768,26,ITA,EMEA,0,0.0
Site 1769,5,NLD,EMEA,0,0.0
Site 177,43,USA,AMERICA,0,0.0
Site 1770,11,NLD,EMEA,0,0.0
Site 1771,26,NLD,EMEA,0,0.0
Site 1772,5,NLD,EMEA,0,0.0
Site 1773,55,NLD,EMEA,0,2.0
Site 1774,56,NLD,EMEA,0,0.0
Site 1775,30,NLD,EMEA,0,0.0
Site 1776,23,NLD,EMEA,0,0.0
Site 1777,17,NLD,EMEA,0,0.0
Site 1778,17,NLD,EMEA,0,0.0
Site 1779,12,NLD,EMEA,0,0.0
Site 178,30,USA,AMERICA,0,0.0
Site 1780,24,NLD,EMEA,0,0.0
Site 1781,23,NLD,EMEA,0,0.0
Site 1782,20,NLD,EMEA,0,0.0
Site 1783,6,NLD,EMEA,0,0.0
Site 1784,24,NLD,EMEA,0,0.0
Site 1785,16,NLD,EMEA,0,0.0
Site 1786,42,NLD,EMEA,0,0.0
Site 1787,11,NLD,EMEA,0,0.0
Site 1788,15,NLD,EMEA,0,0.0
Site 1789,3,POL,EMEA,0,0.0
Site 179,19,USA,AMERICA,0,0.0
Site 1790,18,POL,EMEA,0,0.0
Site 1791,26,ROU,EMEA,0,0.0
Site 1792,1,ROU,EMEA,0,0.0
Site 1793,3,ROU,EMEA,0,0.0
Site 1794,2,ROU,EMEA,0,0.0
Site 1795,3,ROU,EMEA,0,0.0
Site 1796,8,ROU,EMEA,0,0.0
Site 1797,29,ROU,EMEA,0,0.0
Site 1798,29,ROU,EMEA,0,0.0
Site 1799,22,ROU,EMEA,0,0.0
Site 18,22,USA,AMERICA,0,0.0
Site 180,51,USA,AMERICA,0,0.0
Site 1800,9,ROU,EMEA,0,0.0
Site 1801,19,ROU,EMEA,0,0.0
Site 1802,6,ROU,EMEA,0,0.0
Site 1803,17,ROU,EMEA,0,0.0
Site 1804,6,ROU,EMEA,0,0.0
Site 1805,10,ROU,EMEA,0,0.0
Site 1806,9,ROU,EMEA,0,0.0
Site 1807,47,ROU,EMEA,0,0.0
Site 1808,33,ROU,EMEA,0,0.0
Site 1809,20,ROU,EMEA,0,0.0
Site 181,6,USA,AMERICA,0,0.0
Site 1810,28,ROU,EMEA,0,0.0
Site 1811,17,ROU,EMEA,0,0.0
Site 1812,2,ROU,EMEA,0,0.0
Site 1813,23,ROU,EMEA,0,0.0
Site 1814,27,ROU,EMEA,0,0.0
Site 1815,3,ROU,EMEA,0,0.0
Site 1816,34,SVK,EMEA,0,0.0
Site 1817,16,SVK,EMEA,0,0.0
Site 1818,12,SVK,EMEA,0,0.0
Site 1819,17,SVK,EMEA,0,0.0
Site 182,39,USA,AMERICA,0,0.0
Site 1820,46,SVK,EMEA,0,0.0
Site 1821,10,SVK,EMEA,0,0.0
Site 1822,8,SVK,EMEA,0,0.0
Site 1823,6,SVK,EMEA,0,0.0
Site 1824,32,SVK,EMEA,0,0.0
Site 1825,13,SVK,EMEA,0,0.0
Site 1826,10,SVK,EMEA,0,0.0
Site 1827,16,SVK,EMEA,0,1.0
Site 1828,19,SVK,EMEA,0,0.0
Site 1829,12,SVK,EMEA,0,0.0
Site 183,9,USA,AMERICA,0,0.0
Site 1830,8,SVK,EMEA,0,0.0
Site 1831,2,SVK,EMEA,0,0.0
Site 1832,27,SVK,EMEA,0,1.0
Site 1833,13,SVK,EMEA,0,2.0
Site 1834,24,SVK,EMEA,0,0.0
Site 1835,8,SVK,EMEA,0,0.0
Site 1836,36,SVK,EMEA,0,0.0
Site 1837,14,SVK,EMEA,0,0.0
Site 1838,16,SVK,EMEA,0,0.0
Site 1839,23,SVK,EMEA,0,0.0
Site 184,10,USA,AMERICA,0,0.0
Site 1840,5,SVK,EMEA,0,0.0
Site 1841,9,SVK,EMEA,0,0.0
Site 1842,13,SVK,EMEA,0,0.0
Site 1843,15,SVK,EMEA,0,0.0
Site 1844,10,SVK,EMEA,0,0.0
Site 1845,13,ESP,EMEA,0,0.0
Site 1846,12,ESP,EMEA,0,0.0
Site 1847,10,ESP,EMEA,0,0.0
Site 1848,72,ESP,EMEA,0,0.0
Site 1849,19,ESP,EMEA,0,0.0
Site 185,5,USA,AMERICA,0,0.0
Site 1850,20,ESP,EMEA,0,0.0
Site 1851,45,ESP,EMEA,0,0.0
Site 1852,12,ESP,EMEA,0,0.0
Site 1853,22,ESP,EMEA,0,0.0
Site 1854,5,ESP,EMEA,0,0.0
Site 1855,23,ESP,EMEA,0,0.0
Site 1856,12,ESP,EMEA,0,0.0
Site 1857,7,ESP,EMEA,0,0.0
Site 1858,33,ESP,EMEA,0,0.0
Site 1859,42,ESP,EMEA,0,0.0
Site 186,4,USA,AMERICA,0,0.0
Site 1860,14,ESP,EMEA,0,0.0
Site 1861,18,ESP,EMEA,0,0.0
Site 1862,9,ESP,EMEA,0,0.0
Site 1863,10,ESP,EMEA,0,0.0
Site 1864,7,ESP,EMEA,0,0.0
Site 1865,15,ESP,EMEA,0,0.0
Site 1866,18,ESP,EMEA,0,0.0
Site 1867,27,ESP,EMEA,0,0.0
Site 1868,5,ESP,EMEA,0,0.0
Site 1869,12,ESP,EMEA,0,0.0
Site 187,37,USA,AMERICA,0,18.0
Site 1870,17,ESP,EMEA,0,0.0
Site 1871,17,ESP,EMEA,0,0.0
Site 1872,7,ESP,EMEA,0,0.0
Site 1873,8,ESP,EMEA,0,0.0
Site 1874,8,ESP,EMEA,0,0.0
Site 1875,7,ESP,EMEA,0,0.0
Site 1876,29,ESP,EMEA,0,0.0
Site 1877,24,ESP,EMEA,0,0.0
Site 1878,37,ESP,EMEA,0,0.0
Site 1879,5,ESP,EMEA,0,0.0
Site 188,43,USA,AMERICA,0,0.0
Site 1880,23,ESP,EMEA,0,0.0
Site 1881,9,ESP,EMEA,0,0.0
Site 1882,16,ESP,EMEA,0,0.0
Site 1883,36,ESP,EMEA,0,0.0
Site 1884,26,ESP,EMEA,0,0.0
Site 1885,11,ESP,EMEA,0,0.0
Site 1886,7,ESP,EMEA,0,0.0
Site 1887,17,ESP,EMEA,0,0.0
Site 1888,24,ESP,EMEA,0,0.0
Site 1889,7,ESP,EMEA,0,0.0
Site 189,5,USA,AMERICA,0,0.0
Site 1890,24,ESP,EMEA,0,0.0
Site 1891,12,ESP,EMEA,0,0.0
Site 1892,7,ESP,EMEA,0,0.0
Site 1893,6,ESP,EMEA,0,0.0
Site 1894,15,ESP,EMEA,0,0.0
Site 1895,15,ESP,EMEA,0,0.0
Site 1896,23,ESP,EMEA,0,0.0
Site 1897,69,ESP,EMEA,0,0.0
Site 1898,3,ESP,EMEA,0,0.0
Site 1899,6,ESP,EMEA,0,0.0
Site 19,56,USA,AMERICA,0,0.0
Site 1900,14,ESP,EMEA,0,0.0
Site 1901,19,ESP,EMEA,0,0.0
Site 1902,20,ESP,EMEA,0,0.0
Site 1903,23,ESP,EMEA,0,0.0
Site 1904,19,ESP,EMEA,0,0.0
Site 1905,17,ESP,EMEA,0,0.0
Site 1906,17,CHE,EMEA,0,0.0
Site 1907,18,CHE,EMEA,0,0.0
Site 1908,22,CHE,EMEA,0,0.0
Site 1909,69,GBR,EMEA,0,0.0
Site 191,9,CHN,ASIA,0,0.0
Site 1910,31,GBR,EMEA,0,0.0
Site 1911,4,GBR,EMEA,0,0.0
Site 1912,8,GBR,EMEA,0,0.0
Site 1913,1,GBR,EMEA,0,0.0
Site 1914,183,GBR,EMEA,0,12.0
Site 1915,3,GBR,EMEA,0,0.0
Site 1916,18,GBR,EMEA,0,0.0
Site 1917,82,GBR,EMEA,0,2.0
Site 1918,6,GBR,EMEA,0,0.0
Site 1919,7,GBR,EMEA,0,0.0
Site 192,17,CHN,ASIA,0,0.0
Site 1920,10,GBR,EMEA,0,0.0
Site 1921,5,GBR,EMEA,0,0.0
Site 1922,15,GBR,EMEA,0,0.0
Site 1923,16,GBR,EMEA,0,0.0
Site 1924,12,GBR,EMEA,0,0.0
Site 1925,62,GBR,EMEA,0,0.0
Site 1926,1,GBR,EMEA,0,0.0
Site 1927,5,GBR,EMEA,0,0.0
Site 1928,9,GBR,EMEA,0,0.0
Site 1929,7,GBR,EMEA,0,0.0
Site 193,11,CHN,ASIA,0,0.0
Site 1930,17,GBR,EMEA,0,0.0
Site 1931,10,GBR,EMEA,0,0.0
Site 1932,30,GBR,EMEA,0,0.0
Site 1933,7,GBR,EMEA,0,0.0
Site 1934,69,GBR,EMEA,0,2.0
Site 1935,81,GBR,EMEA,0,0.0
Site 1936,11,GBR,EMEA,0,0.0
Site 1937,3,GBR,EMEA,0,0.0
Site 1938,16,GBR,EMEA,0,0.0
Site 1939,10,GBR,EMEA,0,0.0
Site 194,9,CHN,ASIA,0,0.0
Site 1940,3,GBR,EMEA,0,0.0
Site 1941,5,GBR,EMEA,0,0.0
Site 1942,20,GBR,EMEA,0,0.0
Site 1943,7,GBR,EMEA,0,0.0
Site 1944,25,GBR,EMEA,0,0.0
Site 1945,40,GBR,EMEA,0,0.0
Site 1946,52,GBR,EMEA,0,0.0
Site 1947,44,GBR,EMEA,0,0.0
Site 1948,52,GBR,EMEA,0,0.0
Site 1949,9,GBR,EMEA,0,0.0
Site 195,4,CHN,ASIA,0,1.0
Site 1950,2,GBR,EMEA,0,0.0
Site 1951,70,ARG,AMERICA,0,0.0
Site 1952,23,ARG,AMERICA,0,0.0
Site 1953,25,ARG,AMERICA,0,0.0
Site 1954,41,ARG,AMERICA,0,0.0
Site 1955,16,ARG,AMERICA,0,0.0
Site 1956,15,ARG,AMERICA,0,0.0
Site 1957,87,BRA,AMERICA,0,0.0
Site 1958,14,BRA,AMERICA,0,0.0
Site 1959,9,BRA,AMERICA,0,0.0
Site 196,21,CHN,ASIA,0,0.0
Site 1960,6,BRA,AMERICA,0,0.0
Site 1961,2,BRA,AMERICA,0,0.0
Site 1962,8,CAN,AMERICA,0,0.0
Site 1963,26,CAN,AMERICA,0,0.0
Site 1964,12,CAN,AMERICA,0,0.0
Site 1965,22,CAN,AMERICA,0,0.0
Site 1966,12,CAN,AMERICA,0,0.0
Site 1967,71,CAN,AMERICA,0,0.0
Site 1968,42,COL,AMERICA,0,0.0
Site 1969,10,COL,AMERICA,0,0.0
Site 1970,59,COL,AMERICA,0,0.0
Site 1971,16,COL,AMERICA,0,0.0
Site 1972,10,COL,AMERICA,0,0.0
Site 1973,25,COL,AMERICA,0,0.0
Site 1974,28,COL,AMERICA,0,0.0
Site 1975,21,COL,AMERICA,0,0.0
Site 1976,37,COL,AMERICA,0,0.0
Site 1977,22,COL,AMERICA,0,0.0
Site 1978,48,COL,AMERICA,0,0.0
Site 1979,7,COL,AMERICA,0,0.0
Site 198,20,CHN,ASIA,0,0.0
Site 1980,25,COL,AMERICA,0,0.0
Site 1981,9,MEX,AMERICA,0,0.0
Site 1982,71,MEX,AMERICA,0,0.0
Site 1983,31,MEX,AMERICA,0,0.0
Site 1984,28,MEX,AMERICA,0,0.0
Site 1985,15,MEX,AMERICA,0,0.0
Site 1986,53,MEX,AMERICA,0,0.0
Site 1987,32,MEX,AMERICA,0,0.0
Site 1988,17,MEX,AMERICA,0,0.0
Site 1989,13,MEX,AMERICA,0,0.0
Site 1990,39,MEX,AMERICA,0,0.0
Site 1991,19,MEX,AMERICA,0,0.0
Site 1992,19,MEX,AMERICA,0,0.0
Site 1993,18,MEX,AMERICA,0,0.0
Site 1994,24,MEX,AMERICA,0,1.0
Site 1995,11,MEX,AMERICA,0,0.0
Site 1996,23,MEX,AMERICA,0,0.0
Site 1997,25,MEX,AMERICA,0,0.0
Site 1998,41,MEX,AMERICA,0,0.0
Site 1999,14,MEX,AMERICA,0,0.0
Site 2,20,AUS,ASIA,0,0.0
Site 20,49,USA,AMERICA,0,0.0
Site 200,52,CHN,ASIA,0,0.0
Site 2000,3,MEX,AMERICA,0,0.0
Site 2001,13,MEX,AMERICA,0,0.0
Site 2002,80,MEX,AMERICA,0,0.0
Site 2003,39,MEX,AMERICA,0,0.0
Site 2004,6,MEX,AMERICA,0,0.0
Site 2005,26,MEX,AMERICA,0,0.0
Site 2006,19,MEX,AMERICA,0,0.0
Site 2007,60,USA,AMERICA,0,0.0
Site 2008,46,USA,AMERICA,0,0.0
Site 2009,8,USA,AMERICA,0,0.0
Site 201,6,CHN,ASIA,0,0.0
Site 2010,37,USA,AMERICA,0,0.0
Site 2011,14,USA,AMERICA,0,0.0
Site 2012,46,USA,AMERICA,0,0.0
Site 2013,7,USA,AMERICA,0,0.0
Site 2014,4,USA,AMERICA,0,0.0
Site 2015,47,USA,AMERICA,0,0.0
Site 2016,10,USA,AMERICA,0,0.0
Site 2017,14,USA,AMERICA,0,0.0
Site 2018,14,USA,AMERICA,0,0.0
Site 2019,44,USA,AMERICA,0,0.0
Site 202,26,CHN,ASIA,0,0.0
Site 2020,20,USA,AMERICA,0,1.0
Site 2021,26,USA,AMERICA,0,0.0
Site 2022,31,USA,AMERICA,0,0.0
Site 2023,18,USA,AMERICA,0,0.0
Site 2024,11,USA,AMERICA,0,0.0
Site 2025,19,USA,AMERICA,0,0.0
Site 2026,60,USA,AMERICA,0,0.0
Site 2027,10,USA,AMERICA,0,0.0
Site 2028,6,USA,AMERICA,0,0.0
Site 2029,49,USA,AMERICA,0,0.0
Site 203,39,CHN,ASIA,0,0.0
Site 2030,13,USA,AMERICA,0,0.0
Site 2031,9,USA,AMERICA,0,0.0
Site 2032,3,USA,AMERICA,0,0.0
Site 2033,17,USA,AMERICA,0,0.0
Site 2034,18,USA,AMERICA,0,0.0
Site 2035,25,USA,AMERICA,0,0.0
Site 2036,20,USA,AMERICA,0,0.0
