Site ID,query_count,Region,Country,missing_page_count,sae_count
Site 1070,20,AMERICA,USA,0.0,2.0
Site 1071,6,AMERICA,USA,0.0,3.0
Site 1072,33,AMERICA,USA,0.0,2.0
Site 1073,8,AMERICA,USA,0.0,2.0
Site 1074,18,AMERICA,USA,0.0,4.0
Site 1075,15,AMERICA,USA,0.0,4.0
Site 1076,8,AMERICA,USA,0.0,2.0
Site 1077,31,AMERICA,USA,0.0,2.0
Site 1078,3,AMERICA,USA,0.0,0.0
Site 1079,1,AMERICA,USA,0.0,0.0
Site 108,8,ASIA,IND,0.0,0.0
Site 1080,3,AMERICA,USA,0.0,0.0
Site 1081,12,AMERICA,USA,0.0,4.0
Site 1082,7,AMERICA,USA,0.0,2.0
Site 1083,22,AMERICA,USA,0.0,1.0
Site 1084,29,AMERICA,USA,0.0,2.0
Site 1085,8,AMERICA,USA,0.0,2.0
Site 1086,19,AMERICA,USA,0.0,3.0
Site 1087,11,AMERICA,USA,0.0,0.0
Site 1088,15,AMERICA,USA,0.0,6.0
Site 1089,25,AMERICA,USA,0.0,3.0
Site 1090,25,AMERICA,USA,0.0,5.0
Site 1091,20,AMERICA,USA,0.0,2.0
Site 1092,28,AMERICA,USA,0.0,4.0
Site 1093,7,AMERICA,USA,0.0,1.0
Site 1094,9,AMERICA,USA,0.0,1.0
Site 1095,25,AMERICA,USA,0.0,8.0
Site 1096,4,AMERICA,USA,0.0,3.0
Site 1097,9,AMERICA,USA,0.0,3.0
Site 1098,11,AMERICA,USA,0.0,1.0
Site 1099,9,AMERICA,USA,0.0,4.0
Site 11,37,EMEA,FRA,0.0,8.0
Site 1100,25,AMERICA,USA,0.0,2.0
Site 1101,1,AMERICA,USA,0.0,0.0
Site 1102,13,AMERICA,USA,0.0,3.0
Site 1103,6,AMERICA,USA,0.0,0.0
Site 1104,19,AMERICA,USA,0.0,7.0
Site 1105,23,AMERICA,USA,0.0,4.0
Site 1106,4,AMERICA,USA,0.0,2.0
Site 1107,13,AMERICA,USA,0.0,1.0
Site 1108,15,AMERICA,USA,0.0,2.0
Site 1109,13,AMERICA,USA,0.0,6.0
Site 1110,155,AMERICA,USA,0.0,36.0
Site 1111,11,AMERICA,USA,0.0,1.0
Site 1112,11,AMERICA,USA,0.0,2.0
Site 1113,3,AMERICA,USA,0.0,0.0
Site 1114,34,AMERICA,USA,0.0,18.0
Site 1115,3,AMERICA,USA,0.0,0.0
Site 1116,6,AMERICA,USA,0.0,2.0
Site 1117,3,AMERICA,USA,0.0,0.0
Site 1118,13,AMERICA,USA,0.0,2.0
Site 1119,8,AMERICA,USA,0.0,1.0
Site 1120,7,AMERICA,USA,0.0,0.0
Site 1121,1,AMERICA,USA,0.0,0.0
Site 1122,10,AMERICA,USA,0.0,0.0
Site 1123,13,AMERICA,USA,0.0,6.0
Site 1124,17,AMERICA,USA,0.0,2.0
Site 1125,22,AMERICA,USA,0.0,6.0
Site 1126,8,AMERICA,USA,0.0,2.0
Site 1127,17,AMERICA,USA,0.0,7.0
Site 1128,25,AMERICA,USA,0.0,2.0
Site 1129,15,AMERICA,USA,0.0,6.0
Site 113,61,EMEA,HRV,0.0,7.0
Site 1130,4,AMERICA,USA,0.0,1.0
Site 1131,13,AMERICA,USA,0.0,4.0
Site 1132,2,AMERICA,USA,0.0,0.0
Site 1133,14,AMERICA,USA,0.0,3.0
Site 1134,25,AMERICA,USA,0.0,13.0
Site 1135,33,AMERICA,USA,0.0,7.0
Site 1136,7,AMERICA,USA,0.0,1.0
Site 1137,12,AMERICA,USA,0.0,2.0
Site 1138,4,AMERICA,USA,0.0,2.0
Site 1139,1,AMERICA,USA,0.0,0.0
Site 1140,16,AMERICA,USA,0.0,1.0
Site 1141,8,AMERICA,USA,0.0,2.0
Site 1142,14,AMERICA,USA,0.0,1.0
Site 1143,6,AMERICA,USA,0.0,2.0
Site 1144,44,AMERICA,USA,0.0,5.0
Site 1145,5,AMERICA,USA,0.0,0.0
Site 1146,17,AMERICA,USA,0.0,4.0
Site 1147,7,AMERICA,USA,0.0,1.0
Site 1148,3,AMERICA,USA,0.0,0.0
Site 1149,3,AMERICA,USA,0.0,1.0
Site 1150,1,AMERICA,USA,0.0,0.0
Site 1151,1,AMERICA,USA,0.0,0.0
Site 1152,1,AMERICA,USA,0.0,0.0
Site 1153,18,AMERICA,USA,0.0,5.0
Site 1154,15,AMERICA,USA,0.0,7.0
Site 1155,9,AMERICA,USA,0.0,3.0
Site 1156,5,AMERICA,USA,0.0,1.0
Site 1157,10,AMERICA,USA,0.0,2.0
Site 1158,5,AMERICA,USA,0.0,8.0
Site 1159,32,AMERICA,USA,0.0,16.0
Site 1160,13,AMERICA,USA,0.0,6.0
Site 1161,63,AMERICA,USA,0.0,21.0
Site 1162,14,AMERICA,USA,0.0,5.0
Site 1163,16,AMERICA,USA,0.0,0.0
Site 1164,12,AMERICA,USA,0.0,2.0
Site 1165,4,AMERICA,USA,0.0,0.0
Site 1166,7,AMERICA,USA,0.0,1.0
Site 1167,11,AMERICA,USA,0.0,0.0
Site 1168,3,AMERICA,USA,0.0,1.0
Site 1169,4,AMERICA,USA,0.0,1.0
Site 1170,8,AMERICA,USA,0.0,1.0
Site 1171,3,AMERICA,USA,0.0,1.0
Site 1172,4,AMERICA,USA,0.0,1.0
Site 1173,3,AMERICA,USA,0.0,1.0
Site 1174,10,AMERICA,USA,0.0,4.0
Site 1175,5,AMERICA,USA,0.0,1.0
Site 1176,2,AMERICA,USA,0.0,0.0
Site 1177,8,AMERICA,USA,0.0,1.0
Site 1178,8,AMERICA,USA,0.0,3.0
Site 1179,1,AMERICA,USA,0.0,1.0
Site 1180,24,AMERICA,USA,0.0,17.0
Site 1181,17,AMERICA,USA,0.0,19.0
Site 1182,32,AMERICA,USA,0.0,4.0
Site 1183,14,AMERICA,USA,0.0,3.0
Site 1184,10,AMERICA,USA,0.0,3.0
Site 1185,2,AMERICA,USA,0.0,0.0
Site 1186,14,AMERICA,USA,0.0,2.0
Site 1187,4,AMERICA,USA,0.0,0.0
Site 1188,18,AMERICA,USA,0.0,0.0
Site 1189,3,AMERICA,USA,0.0,0.0
Site 1190,29,AMERICA,USA,0.0,8.0
Site 1191,14,AMERICA,USA,0.0,6.0
Site 1192,8,AMERICA,USA,0.0,1.0
Site 1193,32,AMERICA,USA,0.0,4.0
Site 1194,47,AMERICA,USA,0.0,7.0
Site 1195,1,AMERICA,USA,0.0,0.0
Site 1196,23,AMERICA,USA,0.0,5.0
Site 1197,30,AMERICA,USA,0.0,5.0
Site 1198,22,AMERICA,USA,0.0,4.0
Site 1199,10,AMERICA,USA,0.0,1.0
Site 1200,38,AMERICA,USA,0.0,8.0
Site 1201,7,AMERICA,USA,0.0,0.0
Site 1202,20,AMERICA,USA,0.0,4.0
Site 1203,5,AMERICA,USA,0.0,0.0
Site 1204,27,AMERICA,USA,0.0,5.0
Site 1205,8,AMERICA,USA,0.0,0.0
Site 1206,32,AMERICA,USA,0.0,2.0
Site 1207,2,AMERICA,USA,0.0,1.0
Site 1208,19,AMERICA,USA,0.0,7.0
Site 1209,20,AMERICA,USA,0.0,5.0
Site 1210,8,AMERICA,USA,0.0,2.0
Site 1211,14,AMERICA,USA,0.0,4.0
Site 1212,24,AMERICA,USA,0.0,11.0
Site 1213,21,AMERICA,USA,0.0,10.0
Site 1214,8,AMERICA,USA,0.0,1.0
Site 1215,5,AMERICA,USA,0.0,2.0
Site 1216,5,AMERICA,USA,0.0,5.0
Site 1217,9,AMERICA,USA,0.0,1.0
Site 1218,34,AMERICA,USA,0.0,6.0
Site 1219,16,AMERICA,USA,0.0,4.0
Site 1220,32,AMERICA,USA,0.0,10.0
Site 1221,9,AMERICA,USA,0.0,1.0
Site 1222,35,AMERICA,USA,0.0,15.0
Site 1223,11,AMERICA,USA,0.0,4.0
Site 1224,9,AMERICA,USA,0.0,1.0
Site 1225,16,AMERICA,USA,0.0,4.0
Site 1226,2,AMERICA,USA,0.0,0.0
Site 1227,8,AMERICA,USA,0.0,2.0
Site 1228,9,AMERICA,USA,0.0,2.0
Site 1229,4,AMERICA,USA,0.0,1.0
Site 1230,23,AMERICA,USA,0.0,3.0
Site 1231,8,AMERICA,USA,0.0,0.0
Site 1232,14,AMERICA,USA,0.0,3.0
Site 1233,17,AMERICA,USA,0.0,9.0
Site 1234,40,AMERICA,USA,0.0,4.0
Site 1235,22,AMERICA,USA,0.0,1.0
Site 1236,18,AMERICA,USA,0.0,3.0
Site 1237,10,AMERICA,USA,0.0,2.0
Site 1238,7,AMERICA,USA,0.0,0.0
Site 1239,17,AMERICA,USA,0.0,2.0
Site 124,14,EMEA,EST,0.0,3.0
Site 1240,15,AMERICA,USA,0.0,0.0
Site 1241,9,AMERICA,USA,0.0,4.0
Site 1242,6,AMERICA,USA,0.0,2.0
Site 1243,24,AMERICA,USA,0.0,0.0
Site 1244,96,AMERICA,USA,0.0,0.0
Site 1245,22,AMERICA,USA,0.0,6.0
Site 1246,9,AMERICA,USA,0.0,3.0
Site 1247,6,AMERICA,USA,0.0,1.0
Site 1248,5,AMERICA,USA,0.0,1.0
Site 1249,1,AMERICA,USA,0.0,0.0
Site 125,22,EMEA,EST,0.0,7.0
Site 1250,2,AMERICA,USA,0.0,1.0
Site 1251,18,AMERICA,USA,0.0,3.0
Site 1252,6,AMERICA,USA,0.0,1.0
Site 1253,1,AMERICA,USA,0.0,0.0
Site 1254,79,AMERICA,USA,0.0,7.0
Site 1255,12,AMERICA,USA,0.0,2.0
Site 1256,8,AMERICA,USA,0.0,3.0
Site 1257,5,AMERICA,USA,0.0,0.0
Site 1258,6,AMERICA,USA,0.0,0.0
Site 1259,3,AMERICA,USA,0.0,0.0
Site 126,8,EMEA,EST,0.0,2.0
Site 1260,9,AMERICA,USA,0.0,0.0
Site 1261,12,AMERICA,USA,0.0,4.0
Site 1262,20,AMERICA,USA,0.0,2.0
Site 1263,17,AMERICA,USA,0.0,8.0
Site 1264,7,AMERICA,USA,0.0,3.0
Site 1265,4,AMERICA,USA,0.0,0.0
Site 1266,6,AMERICA,USA,0.0,1.0
Site 1267,20,AMERICA,USA,0.0,18.0
Site 1268,5,AMERICA,USA,0.0,0.0
Site 1269,4,AMERICA,USA,0.0,1.0
Site 127,5,EMEA,EST,0.0,1.0
Site 1270,28,AMERICA,USA,0.0,5.0
Site 1271,19,AMERICA,USA,0.0,0.0
Site 1272,2,AMERICA,USA,0.0,1.0
Site 1273,14,AMERICA,USA,0.0,7.0
Site 1274,23,AMERICA,USA,0.0,0.0
Site 1275,4,AMERICA,USA,0.0,1.0
Site 1276,4,AMERICA,USA,0.0,1.0
Site 1277,12,AMERICA,USA,0.0,1.0
Site 1278,6,AMERICA,USA,0.0,0.0
Site 1279,6,AMERICA,USA,0.0,0.0
Site 1280,18,AMERICA,USA,0.0,1.0
Site 1281,12,AMERICA,USA,0.0,2.0
Site 1282,8,AMERICA,USA,0.0,1.0
Site 1283,15,AMERICA,USA,0.0,1.0
Site 1284,4,AMERICA,USA,0.0,0.0
Site 1285,8,AMERICA,USA,0.0,1.0
Site 1286,14,AMERICA,USA,0.0,3.0
Site 1287,2,AMERICA,USA,0.0,0.0
Site 1288,3,AMERICA,USA,0.0,0.0
Site 1289,5,AMERICA,USA,0.0,0.0
Site 129,13,EMEA,EST,0.0,6.0
Site 1290,1,AMERICA,USA,0.0,0.0
Site 1291,3,AMERICA,USA,0.0,0.0
Site 1292,1,AMERICA,USA,0.0,0.0
Site 1293,8,AMERICA,USA,0.0,1.0
Site 1294,8,AMERICA,USA,0.0,1.0
Site 1295,4,ASIA,CHN,0.0,0.0
Site 1296,17,ASIA,CHN,0.0,5.0
Site 1297,19,ASIA,CHN,0.0,5.0
Site 1298,5,ASIA,CHN,0.0,2.0
Site 1299,11,ASIA,CHN,0.0,1.0
Site 130,18,EMEA,FRA,0.0,1.0
Site 1300,10,ASIA,CHN,0.0,4.0
Site 1301,11,ASIA,CHN,0.0,3.0
Site 1302,34,ASIA,CHN,0.0,4.0
Site 1303,41,ASIA,CHN,0.0,8.0
Site 1304,33,ASIA,CHN,0.0,4.0
Site 1305,30,ASIA,CHN,0.0,10.0
Site 1306,7,ASIA,CHN,0.0,2.0
Site 1307,6,ASIA,CHN,0.0,1.0
Site 1308,17,ASIA,CHN,0.0,7.0
Site 1309,10,ASIA,CHN,0.0,0.0
Site 131,18,EMEA,FRA,0.0,8.0
Site 1310,19,ASIA,CHN,0.0,3.0
Site 1311,7,ASIA,CHN,0.0,0.0
Site 1312,10,ASIA,CHN,0.0,3.0
Site 1313,16,ASIA,CHN,0.0,8.0
Site 1314,2,ASIA,CHN,0.0,2.0
Site 1315,5,ASIA,CHN,0.0,0.0
Site 1316,13,ASIA,CHN,0.0,3.0
Site 1317,5,ASIA,CHN,0.0,2.0
Site 1318,5,ASIA,CHN,0.0,0.0
Site 1319,2,ASIA,JPN,0.0,0.0
Site 132,13,EMEA,FRA,0.0,1.0
Site 1320,1,ASIA,JPN,0.0,0.0
Site 1321,4,ASIA,JPN,0.0,0.0
Site 1322,2,ASIA,JPN,0.0,1.0
Site 1323,5,ASIA,JPN,0.0,2.0
Site 1324,2,ASIA,JPN,0.0,0.0
Site 1325,4,ASIA,JPN,0.0,2.0
Site 1326,3,ASIA,JPN,0.0,0.0
Site 1327,2,ASIA,JPN,0.0,1.0
Site 1328,2,ASIA,JPN,0.0,0.0
Site 1329,3,ASIA,JPN,0.0,0.0
Site 1330,12,ASIA,AUS,0.0,2.0
Site 1331,22,ASIA,AUS,0.0,4.0
Site 1332,31,ASIA,AUS,0.0,14.0
Site 1333,8,ASIA,AUS,0.0,0.0
Site 1334,5,ASIA,AUS,0.0,3.0
Site 1335,16,ASIA,AUS,0.0,0.0
Site 1336,5,ASIA,AUS,0.0,6.0
Site 1337,14,ASIA,AUS,0.0,6.0
Site 1338,19,ASIA,AUS,0.0,1.0
Site 1339,76,ASIA,AUS,0.0,11.0
Site 1340,9,ASIA,AUS,0.0,3.0
Site 1341,1,ASIA,AUS,0.0,0.0
Site 1342,4,ASIA,AUS,0.0,2.0
Site 1343,29,ASIA,AUS,0.0,8.0
Site 1344,4,ASIA,AUS,0.0,1.0
Site 1345,16,EMEA,BEL,0.0,4.0
Site 1346,12,EMEA,BEL,0.0,3.0
Site 1347,17,EMEA,BEL,0.0,0.0
Site 1348,12,EMEA,BEL,0.0,4.0
Site 1349,5,EMEA,BEL,0.0,3.0
Site 1350,3,EMEA,BEL,0.0,0.0
Site 1351,8,EMEA,BEL,0.0,1.0
Site 1352,24,EMEA,BEL,0.0,8.0
Site 1353,28,EMEA,BEL,0.0,12.0
Site 1354,9,EMEA,BEL,0.0,6.0
Site 1355,25,EMEA,BEL,0.0,9.0
Site 1356,20,EMEA,BEL,0.0,2.0
Site 1357,6,EMEA,BEL,0.0,4.0
Site 1358,22,EMEA,BEL,0.0,6.0
Site 1359,65,EMEA,BGR,0.0,17.0
Site 1360,30,EMEA,BGR,0.0,8.0
Site 1361,11,EMEA,BGR,0.0,1.0
Site 1362,86,EMEA,BGR,0.0,9.0
Site 1363,22,EMEA,BGR,0.0,0.0
Site 1364,65,EMEA,BGR,0.0,14.0
Site 1365,25,EMEA,BGR,0.0,6.0
Site 1366,25,EMEA,BGR,0.0,5.0
Site 1367,13,EMEA,BGR,0.0,2.0
Site 1368,25,EMEA,BGR,0.0,2.0
Site 1369,54,EMEA,BGR,0.0,3.0
Site 1370,77,EMEA,BGR,0.0,28.0
Site 1371,56,EMEA,BGR,0.0,3.0
Site 1372,60,EMEA,BGR,0.0,7.0
Site 1373,26,EMEA,BGR,0.0,2.0
Site 1374,30,EMEA,BGR,0.0,6.0
Site 1375,8,EMEA,BGR,0.0,0.0
Site 1376,24,EMEA,BGR,0.0,9.0
Site 1377,55,EMEA,BGR,0.0,2.0
Site 1378,10,EMEA,BGR,0.0,3.0
Site 1379,35,EMEA,BGR,0.0,10.0
Site 1380,22,EMEA,BGR,0.0,0.0
Site 1381,46,EMEA,BGR,0.0,17.0
Site 1382,3,EMEA,BGR,0.0,1.0
Site 1383,8,EMEA,BGR,0.0,0.0
Site 1384,3,EMEA,BGR,0.0,0.0
Site 1385,28,EMEA,BGR,0.0,5.0
Site 1386,17,EMEA,BGR,0.0,4.0
Site 1387,17,EMEA,BGR,0.0,2.0
Site 1388,33,AMERICA,COL,0.0,1.0
Site 1389,113,AMERICA,COL,0.0,37.0
Site 1390,90,AMERICA,COL,0.0,21.0
Site 1391,9,AMERICA,COL,0.0,1.0
Site 1392,49,AMERICA,COL,0.0,3.0
Site 1393,11,AMERICA,COL,0.0,4.0
Site 1394,35,EMEA,CZE,0.0,5.0
Site 1395,13,EMEA,CZE,0.0,1.0
Site 1396,10,EMEA,CZE,0.0,0.0
Site 1397,42,EMEA,CZE,0.0,8.0
Site 1398,5,EMEA,CZE,0.0,2.0
Site 1399,87,EMEA,CZE,0.0,10.0
Site 14,62,EMEA,SVK,0.0,10.0
Site 1400,99,EMEA,CZE,0.0,24.0
Site 1401,8,EMEA,CZE,0.0,0.0
Site 1402,23,EMEA,CZE,0.0,7.0
Site 1403,4,EMEA,CZE,0.0,1.0
Site 1404,11,EMEA,CZE,0.0,3.0
Site 1405,39,EMEA,CZE,0.0,13.0
Site 1406,12,EMEA,CZE,0.0,1.0
Site 1407,35,EMEA,CZE,0.0,3.0
Site 1408,18,EMEA,CZE,0.0,6.0
Site 1409,17,EMEA,CZE,0.0,7.0
Site 1410,40,EMEA,CZE,0.0,9.0
Site 1411,13,EMEA,CZE,0.0,1.0
Site 1412,57,EMEA,CZE,0.0,9.0
Site 1413,42,EMEA,CZE,0.0,12.0
Site 1414,21,EMEA,CZE,0.0,7.0
Site 1415,91,EMEA,CZE,0.0,14.0
Site 1416,20,EMEA,CZE,0.0,5.0
Site 1417,60,EMEA,CZE,0.0,18.0
Site 1418,24,EMEA,CZE,0.0,4.0
Site 1419,14,EMEA,CZE,0.0,4.0
Site 1420,25,EMEA,CZE,0.0,7.0
Site 1421,40,EMEA,DNK,0.0,8.0
Site 1422,7,EMEA,DNK,0.0,0.0
Site 1423,18,EMEA,DNK,0.0,5.0
Site 1424,16,EMEA,DNK,0.0,4.0
Site 1425,12,EMEA,DNK,0.0,3.0
Site 1426,36,EMEA,DNK,0.0,8.0
Site 1427,19,EMEA,DNK,0.0,0.0
Site 1428,26,EMEA,DNK,0.0,9.0
Site 1429,5,EMEA,DNK,0.0,1.0
Site 1430,15,EMEA,HUN,0.0,2.0
Site 1431,48,EMEA,HUN,0.0,11.0
Site 1432,45,EMEA,HUN,0.0,9.0
Site 1433,32,EMEA,HUN,0.0,8.0
Site 1434,13,EMEA,HUN,0.0,4.0
Site 1435,7,EMEA,HUN,0.0,4.0
Site 1436,79,EMEA,HUN,0.0,32.0
Site 1437,49,EMEA,HUN,0.0,9.0
Site 1438,63,EMEA,HUN,0.0,18.0
Site 1439,24,EMEA,HUN,0.0,7.0
Site 1440,14,EMEA,HUN,0.0,3.0
Site 1441,19,EMEA,HUN,0.0,6.0
Site 1442,25,EMEA,HUN,0.0,5.0
Site 1443,29,EMEA,HUN,0.0,10.0
Site 1444,36,EMEA,HUN,0.0,9.0
Site 1445,16,EMEA,HUN,0.0,8.0
Site 1446,80,EMEA,HUN,0.0,20.0
Site 1447,5,EMEA,HUN,0.0,0.0
Site 1448,13,EMEA,HUN,0.0,2.0
Site 1449,3,EMEA,HUN,0.0,1.0
Site 1450,2,EMEA,HUN,0.0,1.0
Site 1451,11,EMEA,ISR,0.0,3.0
Site 1452,2,EMEA,ISR,0.0,0.0
Site 1453,15,EMEA,ISR,0.0,2.0
Site 1454,9,EMEA,ISR,0.0,7.0
Site 1455,26,EMEA,ISR,0.0,7.0
Site 1456,83,EMEA,ISR,0.0,20.0
Site 1457,6,EMEA,ISR,0.0,2.0
Site 1458,99,EMEA,ISR,0.0,13.0
Site 1459,25,EMEA,LVA,0.0,1.0
Site 1460,4,EMEA,LVA,0.0,1.0
Site 1461,19,EMEA,LVA,0.0,1.0
Site 1462,5,EMEA,LVA,0.0,0.0
Site 1463,19,EMEA,LVA,0.0,0.0
Site 1464,14,EMEA,LVA,0.0,0.0
Site 1465,11,EMEA,LVA,0.0,6.0
Site 1466,34,EMEA,LTU,0.0,6.0
Site 1467,101,EMEA,LTU,0.0,31.0
Site 1468,84,EMEA,LTU,0.0,25.0
Site 1469,39,EMEA,LTU,0.0,13.0
Site 1470,40,EMEA,LTU,0.0,5.0
Site 1471,80,EMEA,LTU,0.0,25.0
Site 1472,28,EMEA,LTU,0.0,6.0
Site 1473,19,EMEA,LTU,0.0,6.0
Site 1474,26,EMEA,LTU,0.0,13.0
Site 1475,4,EMEA,LTU,0.0,0.0
Site 1476,24,EMEA,LTU,0.0,7.0
Site 1477,24,ASIA,MYS,0.0,6.0
Site 1478,23,ASIA,MYS,0.0,6.0
Site 1479,40,ASIA,MYS,0.0,13.0
Site 148,6,EMEA,ITA,0.0,2.0
Site 1480,20,ASIA,MYS,0.0,3.0
Site 1481,28,ASIA,MYS,0.0,10.0
Site 1482,4,ASIA,MYS,0.0,0.0
Site 1483,17,AMERICA,MEX,0.0,4.0
Site 1484,34,AMERICA,MEX,0.0,4.0
Site 1485,27,AMERICA,MEX,0.0,1.0
Site 1486,25,AMERICA,MEX,0.0,2.0
Site 1487,21,AMERICA,MEX,0.0,5.0
Site 1488,12,AMERICA,MEX,0.0,4.0
Site 1489,18,AMERICA,MEX,0.0,2.0
Site 149,8,EMEA,ITA,0.0,3.0
Site 1490,4,AMERICA,MEX,0.0,0.0
Site 1491,25,AMERICA,MEX,0.0,3.0
Site 1492,22,AMERICA,MEX,0.0,5.0
Site 1493,17,AMERICA,MEX,0.0,0.0
Site 1494,24,AMERICA,MEX,0.0,3.0
Site 1495,14,AMERICA,MEX,0.0,1.0
Site 1496,25,AMERICA,MEX,0.0,1.0
Site 1497,9,AMERICA,MEX,0.0,1.0
Site 1498,41,AMERICA,MEX,0.0,6.0
Site 1499,30,AMERICA,MEX,0.0,1.0
Site 15,51,EMEA,SVK,0.0,16.0
Site 1500,15,ASIA,NZL,0.0,3.0
Site 1501,8,ASIA,NZL,0.0,4.0
Site 1502,25,ASIA,NZL,0.0,6.0
Site 1503,45,ASIA,NZL,0.0,14.0
Site 1504,64,ASIA,NZL,0.0,16.0
Site 1505,30,ASIA,NZL,0.0,9.0
Site 1506,14,ASIA,NZL,0.0,8.0
Site 1507,17,EMEA,POL,0.0,2.0
Site 1508,25,EMEA,POL,0.0,3.0
Site 1509,14,EMEA,POL,0.0,0.0
Site 1510,39,EMEA,POL,0.0,34.0
Site 1511,24,EMEA,POL,0.0,3.0
Site 1512,10,EMEA,POL,0.0,4.0
Site 1513,200,EMEA,POL,0.0,29.0
Site 1514,112,EMEA,POL,0.0,42.0
Site 1515,22,EMEA,POL,0.0,4.0
Site 1516,90,EMEA,POL,0.0,11.0
Site 1517,23,EMEA,POL,0.0,3.0
Site 1518,15,EMEA,POL,0.0,3.0
Site 1519,149,EMEA,POL,0.0,9.0
Site 1520,145,EMEA,POL,0.0,18.0
Site 1521,10,EMEA,POL,0.0,4.0
Site 1522,38,EMEA,POL,0.0,8.0
Site 1523,27,EMEA,POL,0.0,11.0
Site 1524,7,EMEA,POL,0.0,1.0
Site 1525,1,EMEA,POL,0.0,0.0
Site 1526,49,EMEA,POL,0.0,15.0
Site 1527,96,EMEA,POL,0.0,24.0
Site 1528,100,EMEA,POL,0.0,18.0
Site 1529,3,EMEA,POL,0.0,4.0
Site 153,58,EMEA,NLD,0.0,11.0
Site 1530,9,EMEA,POL,0.0,1.0
Site 1531,39,EMEA,POL,0.0,6.0
Site 1532,20,EMEA,POL,0.0,6.0
Site 1533,37,EMEA,POL,0.0,4.0
Site 1534,27,EMEA,ROU,0.0,2.0
Site 1535,5,EMEA,ROU,0.0,0.0
Site 1536,8,EMEA,ROU,0.0,3.0
Site 1537,29,EMEA,ROU,0.0,2.0
Site 1538,37,EMEA,ROU,0.0,2.0
